id,duration,frequency_range,direction
21,0.10521542,1991.821289,22.06999175
21,0.110657596,1324.291992,394.3019105
21,0.078004535,2476.318359,-372.9839417
21,0.112471655,1862.62207,369.3872088
21,0.096145125,1496.557617,482.198689
21,0.114285714,2422.485352,-65.63153275
21,0.110657596,2282.519531,-46.72130299
21,0.112471655,1808.789063,174.3178077
21,0.107029478,1367.358398,259.074594
21,0.112471655,2400.952148,204.1008497
21,0.111746032,2207.15332,34.02283347
21,0.076190476,2110.253906,2.695880646
21,0.103401361,2013.354492,108.72294
21,0.106666667,2196.386719,31.34238777
21,0.088888889,2433.251953,-196.218832
21,0.098684807,2121.020508,82.97603781
21,0.079818594,2142.553711,-35.08050736
21,0.117913832,1927.22168,85.8271654
21,0.079818594,2551.68457,163.4111914
21,0.099773243,1819.555664,180.7702479
21,0.097959184,2207.15332,169.2696711
21,0.094331066,2250.219727,19.68916145
21,0.108843537,1981.054688,36.2470006
21,0.123356009,2831.616211,-299.512085
21,0.099773243,2336.352539,-39.46631681
21,0.076190476,2734.716797,185.9765961
21,0.104716553,2174.853516,225.2583884
21,0.107029478,2077.954102,82.99740629
21,0.090702948,2562.451172,-138.1695525
21,0.124444444,1711.889648,24.51634522
21,0.099705215,1981.054688,121.2377256
21,0.048979592,2422.485352,159.9905496
21,0.12154195,2314.819336,-313.0588727
21,0.092517007,2508.618164,-42.25804471
21,0.125170068,2325.585938,-37.7947071
21,0.103401361,2390.185547,-243.8371595
21,0.150566893,2573.217773,-384.2919881
21,0.108843537,2325.585938,-130.5894962
21,0.148752834,2088.720703,-374.5044862
21,0.123356009,2347.119141,-165.122745
21,0.108843537,2476.318359,-1.83299954
21,0.150566893,2454.785156,-238.5604096
21,0.141496599,2207.15332,-194.5597922
21,0.165079365,2153.320313,-129.9599538
21,0.126984127,2304.052734,11.32649452
21,0.072562358,2250.219727,-163.8580404
21,0.099773243,2400.952148,130.3688156
21,0.117913832,2411.71875,-20.29781309
21,0.143310658,2616.28418,-456.3850756
21,0.116099773,2357.885742,21.72822725
21,0.148752834,2627.050781,-188.9694246
21,0.136054422,2497.851563,-85.1616657
21,0.152380952,2411.71875,-351.734464
21,0.132947846,2271.75293,99.23812805
21,0.125170068,2562.451172,-116.5664752
21,0.137868481,2357.885742,-286.3574057
21,0.13968254,2121.020508,-180.2089226
21,0.110294785,3003.881836,-229.6719065
21,0.092517007,2530.151367,-230.2237005
21,0.162539683,2379.418945,-441.7945059
21,0.154920635,2368.652344,-381.9874241
21,0.144761905,2347.119141,-443.5203803
21,0.08707483,2788.549805,87.144053
21,0.150566893,2088.720703,3.749654298
21,0.131428571,2594.750977,-14.20723847
21,0.110657596,2497.851563,176.8103156
21,0.097959184,2357.885742,-234.5994089
21,0.119002268,2282.519531,-189.5602596
21,0.096145125,2842.382813,-160.1097925
21,0.093764172,2519.384766,0.652251851
21,0.081632653,2390.185547,109.0977634
21,0.168707483,2250.219727,-148.9072966
21,0.145124717,2379.418945,-158.2268485
21,0.145124717,1981.054688,-248.6588099
21,0.152380952,2853.149414,-340.2461357
21,0.126984127,2497.851563,8.264770961
21,0.110657596,2207.15332,-163.2633034
21,0.148752834,2034.887695,-311.0281571
21,0.150566893,2056.420898,-266.366403
21,0.134603175,2390.185547,-369.0153711
21,0.16,2551.68457,-434.9992705
21,0.090702948,2627.050781,-301.4877905
21,0.152380952,2067.1875,-184.5929289
21,0.14984127,2368.652344,-337.5011549
21,0.128798186,2573.217773,-67.19999274
21,0.103401361,2390.185547,-12.58801122
21,0.107029478,2540.917969,-194.1294051
21,0.123356009,2336.352539,-250.1716606
21,0.152380952,2250.219727,-473.5056491
21,0.116825397,2519.384766,-471.970887
21,0.287346939,1787.255859,-499.6386262
21,0.245986395,2067.1875,-281.9562346
21,0.171972789,1012.060547,-387.6048184
21,0.224217687,1324.291992,-431.0197845
21,0.144761905,2379.418945,-430.8898928
21,0.254693878,1722.65625,-581.0489615
21,0.219863946,1959.521484,-188.8074088
21,0.230748299,1970.288086,-442.4176916
21,0.265578231,2067.1875,-143.5330684
21,0.208979592,2314.819336,-254.688757
21,0.239455782,1991.821289,-215.4303626
21,0.137142857,2400.952148,-195.2402031
21,0.243174603,2002.587891,-351.0339669
21,0.198095238,1464.257813,-260.2013393
21,0.145124717,2293.286133,-133.1230459
21,0.17414966,2131.787109,-392.7525797
21,0.20462585,2174.853516,-390.8994303
21,0.235102041,2034.887695,-410.3982024
21,0.243809524,2196.386719,-376.0356308
21,0.162539683,2260.986328,-211.3602135
21,0.165079365,2400.952148,-285.8264036
21,0.256870748,2207.15332,-216.580199
21,0.278639456,2196.386719,-302.5003455
21,0.180680272,2131.787109,-619.5655735
21,0.263401361,2110.253906,-87.07084362
21,0.239455782,2002.587891,-343.1647855
21,0.23292517,1431.958008,-234.1695703
21,0.237278912,1862.62207,-448.024341
21,0.217687075,1711.889648,-371.8085185
21,0.230748299,1776.489258,-420.3614577
21,0.161088435,2325.585938,-402.002172
21,0.256870748,2368.652344,-259.839063
21,0.176326531,2164.086914,-265.8489136
21,0.132063492,2487.084961,-343.9962384
21,0.282993197,1991.821289,-361.7358375
21,0.237278912,2207.15332,-225.144035
21,0.269931973,2540.917969,-99.84190339
21,0.219863946,2153.320313,-529.5405842
21,0.237278912,1356.591797,-252.1640014
21,0.250340136,1873.388672,-120.4083753
21,0.20462585,1894.921875,-478.6160462
21,0.193741497,2024.121094,-266.3987066
21,0.200272109,2088.720703,-121.9150153
21,0.150929705,2067.1875,-505.1819814
21,0.241632653,1690.356445,-521.6996383
21,0.256870748,2497.851563,-418.2607774
21,0.274285714,2099.487305,-765.6949014
21,0.256870748,2465.551758,-212.3646881
21,0.254693878,2357.885742,-423.1148301
21,0.263401361,2239.453125,-523.4173294
21,0.272108844,1388.891602,-303.6089749
21,0.245986395,2045.654297,-411.4751275
21,0.267755102,1324.291992,-221.1065662
21,0.124081633,2400.952148,-10.06184461
21,0.267755102,2239.453125,-213.8331237
21,0.252517007,2390.185547,-580.4945712
21,0.256870748,2250.219727,-331.0735392
21,0.256870748,1668.823242,-730.3759037
21,0.272108844,1873.388672,-500.0989472
21,0.282993197,2207.15332,-280.9412401
21,0.256870748,2056.420898,-462.3382763
21,0.267755102,1550.390625,-461.7124974
21,0.250340136,2067.1875,-491.0726435
21,0.272108844,2314.819336,-406.0456614
21,0.263401361,2260.986328,-541.3090095
21,0.282993197,2207.15332,-371.3593444
21,0.091428571,1884.155273,-404.4015731
21,0.28952381,2314.819336,-393.1426161
21,0.300408163,2174.853516,-187.9509384
21,0.337414966,2390.185547,-220.1657726
21,0.274285714,2260.986328,-537.0737426
21,0.245986395,2282.519531,-596.1455532
21,0.259047619,2347.119141,-423.2500895
21,0.245986395,2508.618164,-537.8357899
21,0.272108844,2153.320313,-303.5314896
21,0.26122449,1959.521484,-600.0065694
21,0.080544218,1593.457031,241.4238791
21,0.20244898,2174.853516,-806.2708436
21,0.28952381,2217.919922,-182.232051
21,0.26122449,2336.352539,-554.6173056
21,0.252517007,1765.722656,-387.9180013
21,0.280816327,2067.1875,-462.095028
21,0.269931973,1894.921875,-359.193876
21,0.250340136,2217.919922,-463.4196622
21,0.252517007,2228.686523,-504.7381677
21,0.191564626,1388.891602,-384.7129315
21,0.128798186,2530.151367,-170.1421375
21,0.12154195,2476.318359,-169.0270323
21,0.186281179,2530.151367,137.8109422
21,0.132789116,2454.785156,-164.4751061
21,0.085260771,1604.223633,213.7079681
21,0.097959184,2067.1875,-419.8799459
21,0.182857143,2217.919922,-464.8681066
21,0.139319728,2583.984375,-238.9926536
21,0.096145125,2271.75293,313.9697099
21,0.148752834,2250.219727,-144.2397747
21,0.050793651,2077.954102,90.82653886
21,0.176326531,2454.785156,-312.3895499
21,0.095782313,1754.956055,461.4820432
21,0.130612245,2153.320313,-629.448437
21,0.132789116,2164.086914,323.8282797
21,0.084897959,2465.551758,205.4521289
21,0.089251701,2185.620117,193.6275323
21,0.211156463,2282.519531,-243.9617748
21,0.065306122,2336.352539,-72.77260613
