Category,PCA_0,PCA_1,PCA_2,PCA_3
Contact,-21.3052002,-5.971245968,-1.262778303,7.184698537
Contact,-19.78308207,-5.279826259,0.108363093,5.100567377
Contact,-21.20659192,-4.230258034,-0.366084363,5.456486798
Contact,-20.10193886,-2.756752409,0.347441796,5.446781544
Contact,-13.55081978,-0.570984179,4.384770745,-3.314136046
Contact,-19.21689777,-4.544283555,1.705360248,1.142109591
Contact,-18.54829046,-4.665427321,2.652794299,1.250992213
Contact,-19.12349084,-1.394427723,0.173394666,2.32401044
Contact,-17.86312027,-1.204890819,1.307311355,3.958970607
Contact,-22.69580833,-6.928751558,-1.237133489,3.64412341
Contact,-19.80805448,-6.809887085,1.563058248,3.36122476
Contact,-19.75251168,-6.006461833,0.004938814,8.136736782
Contact,-19.53926129,-7.672273588,0.877686508,3.96928941
Contact,-22.22554886,-5.967443083,-2.497988855,0.220128988
Contact,-21.28584209,-6.345778861,-0.414821458,-2.321766432
Contact,-23.47817884,-4.865512509,-2.920469016,0.172520822
Contact,-21.63747242,-5.459676001,-1.199542394,1.497487382
Contact,-23.15588358,-3.143160795,-3.367580364,0.893986229
Contact,-22.11889435,-2.623888791,-2.912711192,2.673577089
Contact,-19.6198256,-4.616254715,-0.901346373,6.107547704
Contact,-20.81584338,-5.934073261,-2.586421895,12.6537934
Contact,-19.30400631,-5.939864382,1.327568628,7.548771083
Contact,-19.13540392,-6.030402202,1.629199072,6.584822571
Contact,-19.10060978,-5.631137914,2.379708096,4.253935786
Contact,-18.76262016,-4.95042185,2.331176761,5.284130281
Contact,-19.90526126,-7.417119759,2.147618826,4.19626833
Contact,-17.24777985,-5.753805614,3.078565684,6.133579797
Contact,-17.66245387,-6.327281424,3.725049872,5.816223823
Contact,-16.75184932,-6.374067172,3.674727763,6.525960916
Contact,-17.74807401,-4.714225073,2.3368137,7.470323675
Contact,-18.35798557,-5.125503422,-1.227279742,11.15956484
Contact,-16.57525624,-5.379498892,2.759313923,11.27099604
Contact,-17.04232308,-3.98722062,2.096546995,4.736241845
Contact,-16.5453311,-3.545287022,3.099108265,7.954737659
Contact,-15.52784163,-1.58474516,3.299443515,6.680477145
Contact,-18.61535122,-3.275011881,1.633935423,4.185782972
Contact,-18.52404991,-4.574330376,1.838839295,6.167168929
Contact,-17.06736292,-3.421235244,2.69717148,7.703691751
Contact,-16.49149859,-1.274802673,2.561882994,8.871597029
Contact,-18.99681768,-2.425571251,1.115687776,4.078133124
Contact,-19.54055691,-2.250499432,0.249723154,3.063366106
Contact,-18.80883952,-3.916359082,-0.22720047,5.964103968
Contact,-19.13935371,-3.856218985,0.953231076,4.151048462
Contact,-19.27890717,-4.031092927,1.349114862,2.945121485
Contact,-19.47923086,-4.27572823,-1.266837211,2.109644561
Contact,-19.88949056,-3.386005187,-1.035859797,4.958380515
Contact,-17.01129984,-2.536888845,1.952760045,5.067464442
Contact,-18.25376632,-2.111986037,0.467183256,6.377117146
Contact,-16.06374736,-1.22929266,0.555526188,4.328978495
Contact,-17.6936331,-1.711217525,2.222567701,1.860918647
Contact,-17.80887534,-2.53487572,1.944354891,2.095219638
Contact,-20.15741371,-0.920733369,-3.897561004,6.938993922
