duration_scaled,frequency_change_scaled,direction_scaled
0.173,4492.358,203.248
0.115,4166.098,-294.347
0.123,4492.358,-251.13
0.175,4693.134,-221.083
0.086,4944.104,-156.586
0.169,5094.686,-498.878
0.124,4316.679,-350.968
0.119,3664.158,477.135
0.18,4341.776,308.787
0.169,6123.661,-1403.905
0.213,6249.146,968.969
0.246,3864.934,-230.147
0.115,5922.886,458.67
0.164,4893.91,-41.636
0.273,6224.049,-239.81
0.161,5295.461,-720.016
0.138,4893.91,-208.008
0.245,8131.419,-1351.97
0.124,2710.473,-627.684
0.158,6249.146,-819.076
0.262,6650.698,-1624.289
0.153,6575.407,-615.57
0.251,8156.516,-489.874
0.158,5446.043,78.338
0.187,7127.54,1080.551
0.164,5822.498,1655.394
0.163,6173.855,-169.604
0.175,4818.619,-592.15
0.141,4893.91,-252.551
0.168,4291.582,-815.646
0.186,3689.255,-944.593
0.208,5671.916,-838.449
0.426,8206.71,-1492.322
0.137,4266.485,32.828
0.175,5370.752,1093.326
0.35,8558.068,-1994.502
0.514,9034.91,-1405.882
0.453,8558.068,-951.705
0.15,5220.17,-774.335
0.165,5671.916,-422.351
0.107,4040.613,66.671
0.175,6249.146,-716.243
0.164,6023.274,-149.568
0.224,6324.437,-1283.687
0.166,4893.91,-155.896
0.2,5722.11,-1096.661
0.138,4944.104,-623.34
0.186,6776.183,-770.822
0.268,4818.619,-2498.833
0.31,9386.268,-1643.689
0.251,6776.183,-1028.403
0.179,6023.274,-877.528
0.264,9060.007,-714.604
0.093,5646.819,36.242
0.229,6475.019,-365.011
0.224,3362.994,-830.735
0.143,4743.328,-24.412
0.41,4517.455,-1484.768
0.208,4467.261,791.591
0.24,3362.994,-1488.855
0.426,5395.849,-2007.051
0.245,7077.346,-771.33
0.128,2509.697,-345.436
0.197,6525.213,-656.304
0.295,8357.292,-205.497
0.235,6148.758,1207.536
0.268,8307.098,-918.912
0.257,7629.48,-920.213
0.191,5496.237,-86.569
0.165,4919.007,-195.189
0.246,6801.28,-668.808
0.148,5521.334,310.764
0.146,2785.764,-733.241
0.117,5370.752,767.433
0.257,8432.583,-284.131
0.12,4316.679,-93.426
0.203,6148.758,188.725
0.202,5897.789,-591.865
0.514,8256.904,-1688.21
0.137,4743.328,330.057
0.197,6274.243,143.617
0.284,7930.644,-1116.531
0.453,8959.619,-1298.59
0.102,4994.298,35.847
0.141,5722.11,-850.758
0.585,8884.329,-2302.536
0.193,5245.267,-349.428
0.142,4241.388,-493.167
0.164,7955.741,1577.163
0.134,4944.104,-319.721
0.539,7328.316,-1983.495
0.29,7704.771,-1867.9
0.16,5521.334,65.016
0.197,5947.983,-563.497
0.163,5245.267,-1076.661
0.18,6876.571,1584.691
0.101,4592.746,-142.696
0.315,9336.074,-1234.584
0.257,8031.031,-404.498
0.246,8282.001,-282.232
0.17,4442.164,-735.782
0.486,8658.456,-1183.462
0.339,5897.789,-1847.366
0.137,6198.952,18.904
0.442,2509.697,-573.809
0.478,8256.904,-2799.798
0.208,5847.595,-1594.852
0.574,9160.395,-1239.214
0.677,8005.934,-2286.295
0.131,6048.371,-1026.112
0.089,6098.565,337.628
0.153,4592.746,817.678
0.535,8884.329,-1432.413
0.3,7303.219,-1774.094
0.18,6826.377,-220.624
0.18,5094.686,-78.3
0.246,7880.45,-1593.777
0.169,4567.649,-443.705
0.186,6249.146,-976.713
0.213,5947.983,-1362.172
0.147,5446.043,-209.158
0.208,5144.88,-562.636
0.251,6048.371,-1749.566
0.497,7830.256,0
0.268,7930.644,-706.231
0.138,6048.371,53.59
