N,category,duration,minimum,maximum,frequency_range,direction,centroid,mel,tonnetz,zerocross
7166,3,0.098362889,1724.112508,2542.063558,817.9510501,-90.48605617,2279.26021,-284.9601684,0.000594987,0.110558499
7167,3,0.088904919,1619.863845,2622.254838,1002.390993,-60.7199707,2296.48196,-338.0423248,0.06535804,0.111649537
7168,3,0.098362889,1884.495067,2566.120942,681.6258753,-63.22793109,2315.728299,-348.6996166,0.050983306,0.111285858
7169,3,0.103226988,1716.09338,2702.446118,986.3527371,-18.85301952,2355.435913,-288.4029573,0.043123427,0.112740575
7170,3,0.087013325,1435.423902,2662.350478,1226.926575,45.45210443,2313.630667,-307.2892797,-0.060017448,0.109467461
7171,3,0.090796513,1780.246404,2518.006175,737.7597709,-164.6351489,2292.908368,-291.9757015,0.024366655,0.109103782
7172,3,0.084581276,1339.194367,2598.197454,1259.003087,87.51749261,2141.69054,-304.1740457,0.014099785,0.103648592
7173,3,0.100254484,1507.596054,2726.503501,1218.907448,16.22799385,2402.695347,-306.2767482,-0.0088991,0.116377367
7174,3,0.075663761,1539.672565,2926.9817,1387.309134,-128.5300816,2382.524388,-328.9146449,0.065761982,0.116377367
7175,3,0.083500365,1355.232623,2742.541757,1387.309134,16.08152103,2449.044907,-262.3557958,-0.065092238,0.120741518
7176,3,0.100254484,1692.035997,2959.058212,1267.022215,85.75962079,2439.7377,-256.3048505,0.003341043,0.11965048
7177,3,0.119845993,1884.495067,2686.407861,801.9127943,-54.64692281,2382.866293,-309.8721273,-0.059752448,0.114558971
7178,3,0.088094236,1355.232623,2702.446118,1347.213495,-323.4351742,2302.889802,-336.4108296,0.052938157,0.114195292
7179,3,0.081338543,1427.404774,2686.407861,1259.003087,-142.6208053,2345.419071,-350.6853981,0.027866153,0.112376895
7180,3,0.10714529,1531.653437,2501.967919,970.3144813,64.52958765,2241.089886,-314.6102168,-0.060278764,0.105103309
7181,3,0.088904919,1355.232623,2421.776639,1066.544017,6.25900112,2206.105695,-269.6706552,-0.099351085,0.10473963
7182,3,0.102146077,1299.098727,3063.306875,1764.208148,-4.083931591,2318.146072,-340.216619,0.044830683,0.114195292
7183,3,0.079446949,1419.385647,3079.345131,1659.959484,98.97342939,2341.385381,-304.7966441,-0.024343164,0.120377839
7184,3,0.090796513,1635.902101,2469.891407,833.9893066,180.439515,2081.481713,-363.4294236,0.019442728,0.098920762
7185,3,0.092688107,1860.437684,3063.306875,1202.869191,184.5870135,2480.535518,-313.5961137,-0.03542588,0.124378311
7186,3,0.069178296,1307.117855,2694.426989,1387.309134,-47.34487711,2141.489909,-396.9848804,0.136699365,0.10473963
7187,3,0.082014113,1659.959484,3007.172979,1347.213495,-81.05822646,2494.815397,-294.6779951,0.06223799,0.123287273
7188,3,0.100254484,1659.959484,2453.853151,793.8936668,224.8249216,2134.661298,-279.8339484,0.016743291,0.101830196
7189,3,0.094579701,1748.169892,2878.866932,1130.69704,-58.41846206,2461.545524,-315.0777372,-0.058050164,0.118923122
7190,3,0.092688107,1884.495067,2469.891407,585.39634,38.84213895,2261.191355,-301.220228,0.099122636,0.107649064
7191,3,0.083230137,1283.060471,2518.006175,1234.945704,170.0834789,2208.42402,-295.5984675,-0.021889501,0.106194347
7192,3,0.083230137,1218.907448,2758.580013,1539.672565,52.83011024,2350.487612,-350.1330804,-0.013105252,0.115286329
7193,3,0.081338543,1371.270878,3183.593794,1812.322915,-285.6245226,2551.508904,-244.8565054,-0.183869913,0.122559914
7194,3,0.072285915,1659.959484,2333.566232,673.6067474,72.13783813,2129.41047,-279.880976,4.43E-05,0.097829724
7195,3,0.071880573,1315.136983,2774.618269,1459.481286,-41.16371504,2409.220194,-299.5773445,-0.053906431,0.121105197
7196,3,0.092012538,1587.787333,3119.440771,1531.653437,-112.0660502,2516.939656,-363.015582,0.02963699,0.126560387
7197,3,0.090796513,1595.806461,2694.426989,1098.620528,41.85152266,2233.441206,-232.1812263,-0.050647212,0.11019482
7198,3,0.077555355,1218.907448,2894.905188,1675.997741,-122.9620527,2304.188892,-301.4311596,-0.007478836,0.110558499
7199,3,0.117278829,1716.09338,2582.159198,866.0658182,1.935381691,2222.998804,-229.5915785,0.05557177,0.109467461
7200,3,0.079311836,1315.136983,2670.369605,1355.232623,55.05076439,2298.893929,-307.5607872,0.05552294,0.113104254
7201,3,0.090796513,1459.481286,3392.091121,1932.609835,-460.4665878,2731.253507,-299.6906532,-0.117865561,0.132742934
7202,3,0.086878212,1467.500414,2678.388734,1210.88832,-67.46962328,2170.171808,-359.5638553,0.179121337,0.104012272
7203,3,0.078501152,1363.251751,2646.312222,1283.060471,-70.40201405,2300.995878,-296.6916774,0.029454086,0.109103782
7204,3,0.085121731,1459.481286,3151.517282,1692.035997,-113.0541953,2543.417747,-268.402235,0.066488356,0.128015104
7205,3,0.088904919,1788.265531,2518.006175,729.740643,-19.57071882,2276.322081,-326.507745,0.043440103,0.109103782
7206,3,0.083230137,1194.850064,2999.153851,1804.303788,98.28565487,2152.94017,-315.8211745,0.028098479,0.101102838
7207,3,0.097957548,1619.863845,2518.006175,898.1423298,-78.02497764,2212.513745,-396.5912754,0.053315783,0.102557555
7208,3,0.081068315,1764.208148,2534.044431,769.8362827,130.4881574,2251.877777,-335.9168607,-0.048720745,0.108376423
7209,3,0.089040033,1411.366518,2566.120942,1154.754424,-226.1194878,2242.728424,-334.3762702,-0.065348825,0.104375951
7210,3,0.117278829,1756.18902,2638.293094,882.104074,-30.16625027,2253.72334,-324.16262,-0.095134259,0.10473963
7211,3,0.091066741,1531.653437,2822.733037,1291.079599,-218.0982488,2379.908913,-328.5987241,0.043494957,0.109103782
7212,3,0.102146077,1539.672565,2758.580013,1218.907448,-356.5745065,2509.897515,-309.2174572,-0.127742667,0.118195763
7213,3,0.087013325,1643.921228,2710.465245,1066.544017,-245.3659165,2373.592892,-315.8683362,0.030851637,0.116377367
7214,3,0.102146077,1323.156111,3015.192108,1692.035997,-46.55137039,2429.543219,-358.0451996,-0.07709185,0.12510567
7215,3,0.072285915,1411.366518,2694.426989,1283.060471,35.78895358,2252.670646,-300.3211839,-0.019086623,0.111649537
7216,3,0.083230137,1708.074252,3079.345131,1371.270878,-90.66110002,2297.569362,-315.1688877,0.000202445,0.1000118
7217,3,0.088904919,1491.557798,2461.872279,970.3144813,104.4918924,2113.563436,-268.3501948,0.03770736,0.102193875
