category,duration,direction,frequency,energy
Pleasure,0.0986848,218.3688073,3975,10
Pleasure,0.1160998,417.2439053,0,13
Pleasure,0.1102948,313.1619491,7,12
Pleasure,0.1073923,341.3654721,7,10
Pleasure,0.1131973,431.9690029,50,12
Pleasure,0.1277097,305.4471488,15,12
Pleasure,0.1248072,369.593351,79,12
Pleasure,0.1277097,431.6057834,0,13
Pleasure,0.1306122,409.4587469,7,7
Pleasure,0.0986848,298.2407684,14,12
Pleasure,0.1073923,390.3461186,7,12
Pleasure,0.1160998,368.1346543,0,12
Pleasure,0.1073923,313.8559239,2903,13
Pleasure,0.1044898,305.8787928,14,9
Pleasure,0.0957823,240.4230291,43,8
Pleasure,0.1044898,361.4339013,50,14
Pleasure,0.1015873,325.9713189,64,14
Pleasure,0.0986848,292.6638997,3932,8
Pleasure,0.1015873,212.812073,4059,13
Pleasure,0.0899773,296.7969443,2896,13
Pleasure,0.1015873,336.9534623,2896,13
Pleasure,0.0986848,231.6399405,1404,10
Pleasure,0.1044898,383.1952038,4123,13
Pleasure,0.0986848,378.935571,7,11
Pleasure,0.0928798,291.7852937,3799,10
Pleasure,0.1015873,393.3013089,2681,12
Pleasure,0.1044898,294.8729059,4109,14
Pleasure,0.1073923,290.4851633,7,9
Pleasure,0.1102948,216.2318073,3889,17
Pleasure,0.1248073,429.2567162,2772,11
Pleasure,0.1044898,369.3576607,2889,14
Pleasure,0.1219048,439.4350391,0,8
Pleasure,0.1160998,347.815932,2765,15
Pleasure,0.1306122,372.353062,0,14
Pleasure,0.1102948,390.067475,0,11
Pleasure,0.1044898,218.5476523,28,14
Pleasure,0.0986848,424.399868,0,10
Pleasure,0.1131972,282.8188519,0,9
Pleasure,0.1131973,382.8820215,0,14
Pleasure,0.1102948,423.7171638,4116,13
Pleasure,0.1073922,321.6487234,7,12
Pleasure,0.1190022,377.7992162,4152,11
Pleasure,0.1015873,295.6810363,4145,13
Pleasure,0.1073923,345.0829958,7,7
Pleasure,0.1131973,325.074548,50,13
Pleasure,0.1248073,367.7043424,4116,12
Pleasure,0.1190023,303.9944596,0,3
Pleasure,0.1248072,361.059084,4336,12
Pleasure,0.1160998,348.0469988,0,9
Pleasure,0.1160998,320.5703843,86,11
Pleasure,0.1044898,357.5866372,0,12
Pleasure,0.1015873,329.4359988,7,13
Contact,0.1752381,-244.8034175,3713,6
Contact,0.26412698,-36.08888056,4066,6
Contact,0.33015873,-236.1247126,4293,6
