id,duration,minimum,maximum,frequency_change,direction,pca,category,sex,mean_duration,mean_frequency,mean_change,mean_pca,,
348,0.114829932,1399.658203,3014.648438,1614.990234,350.6897486,-0.86976,N,F,,,,,,
348,0.140430839,1001.293945,4866.503906,3865.209961,-387.0897445,0.9987,N,F,,,,,,
348,0.096598639,1335.058594,4220.507813,2885.449219,532.1841752,-0.99873,N,F,,,,,,
348,0.090702948,1356.591797,3057.714844,1701.123047,761.1629699,-1.6752,N,F,,,,,,
348,0.171088435,2013.354492,3757.543945,1744.189453,-216.5148095,0.47225,N,F,,,,,,
348,0.091405896,1679.589844,4575.805664,2896.21582,617.0490672,-1.16841,N,F,,,,,,
348,0.117596372,1399.658203,3165.380859,1765.722656,-37.74570577,-0.20453,N,F,,,,,,
348,0.089070295,1335.058594,3068.481445,1733.422852,-417.0021955,0.1695,N,F,,,,,,
348,0.096099773,1012.060547,3068.481445,2056.420898,233.8389887,-0.72509,N,F,,,,,,
348,0.10430839,1528.857422,4500.439453,2971.582031,30.75076212,-0.13393,N,F,,,,,,
348,0.063265306,1022.827148,3423.779297,2400.952148,-31.75258327,-0.47501,N,F,,,,,,
348,0.099637188,1399.658203,3197.680664,1798.022461,856.1449966,-1.73499,N,F,,,,,,
348,0.100680272,1108.959961,3994.40918,2885.449219,402.9060559,-0.76519,N,F,,,,,,
348,0.069229025,1001.293945,4554.272461,3552.978516,-16.62007008,-0.18868,N,F,,,,,,
348,0.083446712,1065.893555,3466.845703,2400.952148,-134.5108491,-0.16237,N,F,,,,,,
348,0.094852608,1033.59375,4500.439453,3466.845703,801.9186419,-1.30134,N,F,,,,,,
348,0.100385488,1248.925781,5049.536133,3800.610352,531.1426586,-0.7579,N,F,,,,,,
348,0.075011338,1475.024414,4478.90625,3003.881836,662.9325648,-1.33857,N,F,,,,,,
348,0.084376417,990.5273438,4995.703125,4005.175781,249.6953458,-0.389,N,F,,,,,,
348,0.072653061,1302.758789,4920.336914,3617.578125,448.8680764,-0.87885,N,F,,,,,,
348,0.068435374,1248.925781,4252.807617,3003.881836,492.8088479,-1.12082,N,F,,,,,,
348,0.092494331,1001.293945,4737.304688,3736.010742,494.629818,-0.77463,N,F,,,,,,
348,0.090566893,1281.225586,3477.612305,2196.386719,722.627584,-1.50164,N,F,,,,,,
348,0.086712018,1270.458984,3725.244141,2454.785156,603.7085625,-1.28435,N,F,,,,,,
348,0.086712018,1205.859375,4855.737305,3649.87793,466.9712571,-0.79441,N,F,,,,,,
348,0.060952381,1496.557617,3682.177734,2185.620117,256.7476142,-0.99484,N,F,,,,,,
348,0.100793651,915.1611328,3886.743164,2971.582031,805.6252881,-1.37669,N,F,,,,,,
348,0.071836735,1345.825195,4285.107422,2939.282227,679.5157652,-1.40329,N,F,,,,,,
348,0.070362812,1754.956055,4586.572266,2831.616211,69.93240903,-0.48221,N,F,,,,,,
348,0.07675737,1582.69043,5135.668945,3552.978516,414.8670361,-0.80958,N,F,,,,,,
348,0.087006803,1464.257813,3273.046875,1808.789063,572.399431,-1.38179,N,F,,,,,,
