id,duration_scaled,minimum_scaled,maximum_scaled,frequency_change_scaled,direction_scaled,pca_scaled
348,0.259423117,2057.951814,8708.649748,6650.697935,159.5756463,-0.391678322
348,0.538086252,2835.957988,10892.08643,8056.128443,-1116.756199,4.025151515
348,0.238914524,3036.733774,8231.807256,5195.07348,-888.0777047,0.763846154
348,0.196628767,2108.145761,10365.04999,8256.904228,1139.670259,-2.031118881
348,0.249485963,2308.921547,10816.79551,8507.873963,289.5642459,-0.242470862
348,0.256780256,2635.1822,9361.171056,6725.988855,-830.2819359,1.15972028
348,0.185423042,3086.92772,7980.837522,4893.909802,-812.7077594,0.175081585
348,0.276971706,2886.151935,10465.43788,7579.285949,72.13241149,0.091072261
348,0.29515458,1882.273,10339.95302,8457.680016,144.6329473,0.315920746
348,0.568214853,2108.145761,9938.401443,7830.255683,1062.013451,0.778787879
348,0.251335965,2133.242734,9210.589214,7077.346483,-304.6436848,0.374685315
348,0.426187569,2032.854841,10791.69854,8758.843695,1407.412334,-0.614498834
348,0.27861028,2911.248907,7780.061734,4868.812828,659.6350541,-1.443263403
348,0.26217169,3287.703508,9863.110522,6575.407014,-1305.88591,1.912074592
348,0.234685949,2986.539828,9185.492242,6198.952415,-1332.295248,1.660722611
348,0.249380249,3438.285347,8131.419361,4693.134014,-1526.771282,1.729347319
348,0.215657359,2208.533654,7905.546601,5697.012949,-252.9845427,-0.291888112
348,0.317143175,2057.951814,9762.722629,7704.770816,86.28537114,0.398974359
348,0.196628767,2283.824574,8959.619483,6675.794909,-334.0051392,-0.081934732
348,0.308686023,2534.794308,10164.2742,7629.479895,1044.522279,-1.186037296
348,0.215657359,2459.503387,9863.110522,7403.607135,-250.9693636,0.098041958
348,0.156457298,1806.98208,8558.067909,6751.085828,925.3525072,-2.342750583
348,0.314236028,3287.703508,10766.60156,7478.898056,-311.035314,0.948857809
348,0.250384536,1957.563921,8005.934494,6048.370576,1168.458114,-2.181958042
348,0.251335965,4542.552175,9913.304469,5370.752294,1603.078977,-3.013170163
348,0.177600177,2534.794308,8482.776988,5947.982681,-917.2153587,0.523263403
