category,duration,change,direction
pleasure,0.1,1065.89,940.04
pleasure,0.12,1152.03,844.28
pleasure,0.1,1001.29,1080.36
pleasure,0.12,915.16,688.06
pleasure,0.1,506.03,876.95
pleasure,0.11,829.03,857.64
pleasure,0.11,1216.63,800
pleasure,0.11,1313.53,911.68
pleasure,0.12,1119.73,951.93
pleasure,0.12,1410.42,666.27
pleasure,0.1,1162.79,943.45
pleasure,0.09,1087.43,606.45
pleasure,0.1,1388.89,878.32
pleasure,0.1,1162.79,988.55
pleasure,0.1,1259.69,989.63
contact,0.36,2928.52,-87.86
contact,0.34,2767.02,-180.3
contact,0.34,3251.51,-307.19
contact,0.32,3068.48,-752.27
contact,0.29,602.93,-581.55
contact,0.37,2971.58,-607.98
contact,0.41,3197.68,-483.83
contact,0.38,3100.78,-337.19
contact,0.37,2971.58,-554.29
contact,0.37,3111.55,-473.77
contact,0.34,3003.88,-166.12
contact,0.32,3036.18,-272.01
contact,0.36,3176.15,-217.27
contact,0.36,3197.68,-237.49
contact,0.26,785.96,-95.12
contact,0.37,1076.66,-946.36
contact,0.35,2853.15,-556.87
contact,0.36,3176.15,-266.12
contact,0.37,2077.95,-892.45
contact,0.35,1076.66,-782.97
contact,0.34,1195.09,-348.92
contact,0.32,1496.56,-769.46
contact,0.33,2034.89,-278.26
contact,0.34,1378.13,-678.05
contact,0.32,1356.59,-322.11
contact,0.19,549.1,-252.97
contact,0.32,1367.36,-418.64
contact,0.33,2885.45,-641.03
contact,0.33,1701.12,-350.46
contact,0.35,667.53,-304.32
contact,0.25,484.5,-496.96
contact,0.3,1658.06,83.31
contact,0.25,1894.92,-19.69
contact,0.42,3133.08,-504.16
contact,0.28,3079.25,-547.57
contact,0.18,2304.05,-139.38
contact,0.41,3154.61,-352.77
contact,0.39,3046.95,-662.27
contact,0.39,2637.82,-337.28
contact,0.4,1798.02,-290.7
contact,0.36,2960.82,-313.07
pleasure,0.09,699.83,715.18
pleasure,0.09,1173.56,402.93
pleasure,0.1,893.63,650.39
pleasure,0.09,936.69,624.77
pleasure,0.07,872.09,427.93
pleasure,0.08,1173.56,555.94
pleasure,0.07,850.56,539.77
pleasure,0.09,699.83,601.64
pleasure,0.1,592.16,514.1
pleasure,0.09,1162.79,442.25
pleasure,0.07,979.76,590.23
pleasure,0.1,785.96,511.49
pleasure,0.07,1152.03,430.56
pleasure,0.08,979.76,674.79
pleasure,0.09,1604.22,677.39
pleasure,0.1,1108.96,515.33
pleasure,0.09,710.6,703.91
pleasure,0.08,979.76,716.16
pleasure,0.08,1022.83,307.12
pleasure,0.09,1119.73,641.45
pleasure,0.08,1065.89,486.71
contact,0.34,2142.55,-410.5
contact,0.34,2282.52,-331.53
contact,0.34,904.39,-381.57
contact,0.22,527.56,-520.96
contact,0.33,829.03,-305.1
contact,0.31,1851.86,-429.39
contact,0.24,1916.46,-182.13
contact,0.22,2648.58,-300.1
