N,category,duration,minimum,maximum,frequency_range,direction,centroid,mel,tonnetz,zerocross
724,C,0.339229025,3434.545898,4091.308594,656.7626953,-503.3468707,3780.986846,-377.52258,0.044552336,0.17578125
725,C,0.3369161,1604.223633,4618.87207,3014.648438,311.9762566,2907.751571,-431.57474,-0.030022966,0.124511719
726,C,0.293877551,1851.855469,3865.209961,2013.354492,-371.4352275,3422.372884,-388.63947,0.103061838,0.159667969
727,C,0.306575964,3499.145508,4102.075195,602.9296875,-740.7828389,3817.785802,-331.14725,0.100237499,0.178710938
728,C,0.286621315,3413.012695,3962.109375,549.0966797,-551.3859267,3727.9069,-283.1795,0.060579381,0.173828125
729,C,0.326530612,3111.547852,3843.676758,732.1289063,-772.3018764,3546.310532,-392.32346,0.061687849,0.165039063
730,C,0.343945578,3369.946289,3865.209961,495.2636719,-493.4389092,3601.027359,-365.8063,-0.091065951,0.166015625
731,C,0.339229025,3240.74707,4069.775391,829.0283203,-468.0534275,3703.070786,-429.9848,0.069286356,0.171875
732,C,0.360997732,3369.946289,3811.376953,441.4306641,-469.869132,3596.01057,-370.47522,-0.022467632,0.167480469
733,C,0.293877551,2637.817383,3811.376953,1173.55957,-502.5748612,3488.368649,-388.1557,0.06619598,0.159667969
734,C,0.333786848,3326.879883,3929.80957,602.9296875,-562.9366583,3595.157448,-411.5957,-0.022799205,0.166992188
735,C,0.243764172,1765.722656,3789.84375,2024.121094,-271.9272975,3355.371035,-386.44403,0.061657497,0.166503906
736,C,0.199546485,2379.418945,3606.811523,1227.392578,-457.6430587,3378.47062,-387.1356,-0.10282962,0.160644531
737,C,0.324716553,3488.378906,3832.910156,344.53125,-354.1771971,3641.989872,-418.52365,0.135097944,0.169433594
738,C,0.337052154,3305.34668,4005.175781,699.8291016,-607.3527008,3735.884005,-289.65186,0.014117492,0.174804688
739,C,0.288435374,3240.74707,4155.908203,915.1611328,-680.0789062,3868.124014,-361.3962,-0.083252736,0.183105469
740,C,0.359183673,3434.545898,4091.308594,656.7626953,-754.9157424,3879.78114,-294.83423,-0.024650088,0.1796875
741,C,0.302947846,3445.3125,4080.541992,635.2294922,-388.0085546,3808.440772,-354.93967,-0.018183582,0.178710938
742,C,0.224943311,2917.749023,3596.044922,678.2958984,-288.1331143,3362.698915,-419.67038,-0.082209066,0.157714844
743,C,0.228571429,1701.123047,4069.775391,2368.652344,-234.9316748,3296.359775,-369.59302,-0.053966415,0.172363281
744,C,0.328344671,3499.145508,4134.375,635.2294922,-448.6548336,3915.519016,-404.59357,0.226762906,0.179199219
745,C,0.272108844,2713.183594,3897.509766,1184.326172,-194.028199,3497.255047,-432.90955,0.029185695,0.160644531
746,C,0.282993197,1916.455078,3994.40918,2077.954102,44.25699892,3156.35358,-391.60526,-0.076601885,0.150878906
747,C,0.203900227,1948.754883,4468.139648,2519.384766,-241.1606693,2904.120624,-372.80164,0.0014553,0.139160156
748,C,0.190113379,1808.789063,4263.574219,2454.785156,-315.6466372,3238.25119,-400.81595,0.062774454,0.154785156
749,C,0.270294785,3003.881836,3897.509766,893.6279297,-386.4048281,3494.432257,-447.25586,-0.042809474,0.166015625
750,C,0.279365079,3154.614258,4059.008789,904.3945313,92.61815021,3649.975911,-374.88013,0.003065167,0.173339844
751,P,0.202086168,1765.722656,3779.077148,2013.354492,-226.9499502,3182.475065,-436.58026,-0.008940525,0.157226563
752,P,0.172335601,2153.320313,4457.373047,2304.052734,-240.5983411,3006.260666,-391.2232,-0.018260904,0.138671875
753,P,0.241269841,2099.487305,3273.046875,1173.55957,-352.6781845,3036.102078,-529.1985,0.013927439,0.140625
754,C,0.353741497,3402.246094,3994.40918,592.1630859,-556.715099,3710.31093,-315.94156,0.087391786,0.175292969
755,C,0.259410431,2228.686523,3875.976563,1647.290039,-624.512579,3159.109958,-418.0657,0.052013868,0.152832031
756,C,0.140408163,2239.453125,4694.238281,2454.785156,-428.0370808,3353.189294,-381.77585,0.009164345,0.151367188
757,C,0.324716553,3596.044922,4069.775391,473.7304688,-704.369283,3829.868045,-340.41522,-0.013203605,0.180175781
758,P,0.328344671,2207.15332,3779.077148,1571.923828,-181.4974648,3369.546424,-401.39124,0.050151638,0.15625
759,P,0.264852608,2368.652344,3779.077148,1410.424805,-225.4005025,3331.719969,-390.044,-0.092140683,0.157714844
